v1_id	v2_id	remapped	name
cmoydk3qu00067wpkq5sx3ysm	cmoydk3qu00067wpkq5sx3ysm	0	[Test]Zirong test
cmqqlpagy00qomrm8ook8ygja	cmqqlpagy00qomrm8ook8ygja	0	[TESTING] PR1 SDN BHD
cmsip1p3g000en8m8mbcksiaf	cmsip1p3g000en8m8mbcksiaf	0	[TESTING] PR7 SDN BHD
cmptsxwm80001f5m87ubxmurl	cmptsxwm80001f5m87ubxmurl	0	a Sdn. Bhd.
cmracss9g0000eqm86punx6cc	cmracss9g0000eqm86punx6cc	0	ABM
cms8k7wat002xl6m8md9nx7nb	cms8k7wat002xl6m8md9nx7nb	0	ABSA
cmtkvgc0o00mz0zm8339ho31o	cmtkvgc0o00mz0zm8339ho31o	0	BNOS MEDITECH SDN. BHD.
cmrx0plsl0207ukm8prpccjja	cmrx0plsl0207ukm8prpccjja	0	Brave Sword  Sdn. Bhd.
cmqte6qtu00274bm8ywd6971w	cmqte6qtu00274bm8ywd6971w	0	CHAYELLY SDN. BHD.
cmrwx82xa01kzukm8sxvatb30	cmrwx82xa01kzukm8sxvatb30	0	COMMODITE SDN. BHD.
cmpuhordd003df5m8rje87g2y	cmpuhordd003df5m8rje87g2y	0	ETA RISK AND ESG ADVISORY SDN. BHD.
cmqte6lp7001r4bm8ml3eod9t	cmqte6lp7001r4bm8ml3eod9t	0	Evergrowth Consulting Sdn. Bhd. (FKA Prop Firm Watch Sdn. Bhd.)
cmogup4k90000kukzos5fj1qn	prod-cmogup4k90000kukzos5fj1qn	1	Fusion ETA Sdn. Bhd.
cmp6nua6i00000rigccvj87he	cmp6nua6i00000rigccvj87he	0	FusionETA
cmpxg7bxz0072f5m8nepa58ut	cmpxg7bxz0072f5m8nepa58ut	0	GLOBE ENGINEERING SDN. BHD.
cmogyqn0b000004juaq8uq23y	cmogyqn0b000004juaq8uq23y	0	GLOBE ENGINEERING SDN. BHD. test
cmpxg7xw50078f5m8kbygnldv	cmpxg7xw50078f5m8kbygnldv	0	GLOBE EXPRESS SERVICES SDN. BHD.
cmpcs5z6300006qkzpew0mymt	cmpcs5z6300006qkzpew0mymt	0	GLOBE SUCCESS LEARNING SDN. BHD
cmqtdmcx100004bm82cjjhh0x	cmqtdmcx100004bm82cjjhh0x	0	GOSAAS MALAYSIA SDN. BHD.
cmp55lk4j00005ym82atwdzdh	cmp55lk4j00005ym82atwdzdh	0	HRGenie Dev Tenant
cmp57lob5004e5ym8w0p3guia	cmp57lob5004e5ym8w0p3guia	0	HRGenie Test Sdn Bhd
cmrvsji9f01c5ukm838on09sn	cmrvsji9f01c5ukm838on09sn	0	KEH Food Packaging Sdn. Bhd.
cmquf55vh003bkbm88f10ogp7	cmquf55vh003bkbm88f10ogp7	0	KOSUMY ETA  SDN. BHD.
cmrwz0an501ysukm8n1fxa4y9	cmrwz0an501ysukm8n1fxa4y9	0	Legacy Accelerator Ltd.
cmr0djog801iz8xm88y8ho28q	cmr0djog801iz8xm88y8ho28q	0	LONGMOTIVE DC SOLUTIONS PTE. LTD. (MALAYSIA BRANCH)
cms2owgpw03ezukm8vx0lyleh	cms2owgpw03ezukm8vx0lyleh	0	Luto Ltd.
cmr1qrgei0001kqm8vyf5dyhq	cmr1qrgei0001kqm8vyf5dyhq	0	MYX VENTURES SDN. BHD.
cmrwum6n901kfukm82xnk594g	cmrwum6n901kfukm82xnk594g	0	New Horizon Incorporated
cmrx59vjh0239ukm8wdl90gkw	cmrx59vjh0239ukm8wdl90gkw	0	NORTHERN BEACHES ADVISORY SDN. BHD.
cmttmq1yw001edym8bad5no82	cmttmq1yw001edym8bad5no82	0	Peak Bridges Capital Malaysia Sdn Bhd
cmov2afow0000b8u20wf0ybux	cmov2afow0000b8u20wf0ybux	0	Rachel
cmqtck43i007gkam8amapgsha	cmqtck43i007gkam8amapgsha	0	Risen Technologies Ltd.
cmq0o3ite0000x3u2u6fu33lj	cmq0o3ite0000x3u2u6fu33lj	0	Smoke Test Co
cmqqf6ulo00oumrm8lyumvvp9	cmqqf6ulo00oumrm8lyumvvp9	0	SUNGROW FLOATING MALAYSIA SDN. BHD.
cmr09t3xp00h6mrm8i5p7pvwv	cmr09t3xp00h6mrm8i5p7pvwv	0	Sunspear Technologies Limited
cmoxskqnr0006qwpkvydl9bvz	cmoxskqnr0006qwpkvydl9bvz	0	TESTING INVITATION SDN BHD
cmswvokt50004mbm8njy8jp8i	cmswvokt50004mbm8njy8jp8i	0	Tuah Plan Services Sdn Bhd
cmpqcecu600004bm8aew0l7wr	cmpqcecu600004bm8aew0l7wr	0	Virtual.io
cms2pjwd803h0ukm8oek1zo87	cms2pjwd803h0ukm8oek1zo87	0	VOOH MEDIA SDN. BHD.
cmtqxqw25017r0zm810n4n3tp	cmtqxqw25017r0zm810n4n3tp	0	Xandera Ltd.
cmpkx767y00000am8ifdcgjdx	cmpkx767y00000am8ifdcgjdx	0	Zwartify
cmqtc1eh6006ukam8o7pvr2nf	cmqtc1eh6006ukam8o7pvr2nf	0	ZWARTIFYDESIGN SDN. BHD.
